epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,364.285,0.91397,0.92024,0.99437,0.394,0.85614,0.41595,0.29963,1.01286,1.5183,1.03767,0.000990365,0.000990365,0.000990365
43,369.489,0.91384,0.90645,1.00123,0.44848,0.72399,0.44982,0.32823,0.9993,1.3762,1.03117,0.000973861,0.000973861,0.000973861
44,374.795,0.90944,0.90389,1.00179,0.39858,0.82414,0.40779,0.28521,1.02703,1.50064,1.0972,0.000957358,0.000957358,0.000957358
45,379.988,0.90888,0.91338,0.99336,0.43853,0.79539,0.44401,0.31056,1.00174,1.31686,1.04593,0.000940855,0.000940855,0.000940855
46,385.19,0.89808,0.85178,1.006,0.40039,0.80893,0.42807,0.30977,0.97711,1.54522,1.04371,0.000924352,0.000924352,0.000924352
47,390.411,0.91535,0.87113,1.01355,0.39754,0.81836,0.39672,0.29161,0.97888,1.47581,1.01917,0.000907848,0.000907848,0.000907848
48,395.581,0.89847,0.86364,0.99039,0.42113,0.86309,0.44488,0.31726,0.9863,1.45506,1.04859,0.000891345,0.000891345,0.000891345
49,400.901,0.88183,0.84684,0.98796,0.44298,0.78083,0.467,0.3404,0.94817,1.33789,1.01753,0.000874842,0.000874842,0.000874842
50,406.143,0.87458,0.85238,0.98198,0.44298,0.74242,0.45176,0.32076,0.99446,1.30491,1.04184,0.000858338,0.000858338,0.000858338
51,411.443,0.8795,0.83825,0.99131,0.38224,0.7522,0.3894,0.27623,0.98849,1.51506,1.04032,0.000841835,0.000841835,0.000841835
52,416.621,0.86052,0.81878,0.98781,0.44097,0.84891,0.47259,0.33541,1.01214,1.2987,1.04525,0.000825332,0.000825332,0.000825332
53,421.94,0.89773,0.81466,0.99512,0.45467,0.65547,0.45853,0.3349,0.95928,1.3309,1.02289,0.000808828,0.000808828,0.000808828
54,427.224,0.85802,0.78786,0.97803,0.4311,0.765,0.44819,0.31871,0.94549,1.43036,1.01333,0.000792325,0.000792325,0.000792325
55,432.455,0.84471,0.7611,0.96996,0.42326,0.77631,0.4261,0.30424,0.99968,1.55027,1.05104,0.000775822,0.000775822,0.000775822
56,437.689,0.85627,0.79606,0.97778,0.40989,0.80381,0.41726,0.30603,0.98001,1.56576,1.02417,0.000759318,0.000759318,0.000759318
57,442.996,0.86511,0.7686,0.98114,0.41371,0.7955,0.44874,0.31952,0.99568,1.4743,1.03994,0.000742815,0.000742815,0.000742815
58,448.311,0.82509,0.75499,0.9649,0.41576,0.79344,0.45946,0.33001,0.98928,1.60939,1.02985,0.000726312,0.000726312,0.000726312
59,453.584,0.85902,0.7634,0.96568,0.40801,0.78493,0.42275,0.31498,0.96914,1.57571,1.04006,0.000709809,0.000709809,0.000709809
60,458.833,0.82669,0.71176,0.9574,0.42534,0.73333,0.46441,0.33842,0.9801,1.45724,1.03197,0.000693305,0.000693305,0.000693305
61,464.111,0.83683,0.72605,0.96956,0.41378,0.81847,0.4496,0.32556,0.9753,1.50965,1.02904,0.000676802,0.000676802,0.000676802
62,469.434,0.82299,0.70807,0.96306,0.44759,0.81266,0.48327,0.35199,0.98986,1.56302,1.03904,0.000660299,0.000660299,0.000660299
63,474.629,0.82985,0.70256,0.9606,0.45198,0.77736,0.45425,0.32438,1.00971,1.57749,1.05613,0.000643795,0.000643795,0.000643795
64,479.904,0.85817,0.72027,0.97671,0.38402,0.76791,0.42762,0.30382,0.97786,1.48329,1.0138,0.000627292,0.000627292,0.000627292
65,485.224,0.81595,0.73219,0.95707,0.38278,0.74698,0.39757,0.28389,1.04856,1.91818,1.09188,0.000610789,0.000610789,0.000610789
66,490.542,0.78127,0.66865,0.93747,0.41798,0.78094,0.46898,0.33985,0.99381,1.67497,1.04653,0.000594286,0.000594286,0.000594286
67,495.911,0.82655,0.68905,0.95479,0.40783,0.71535,0.44665,0.319,0.98041,1.43546,1.03722,0.000577782,0.000577782,0.000577782
68,501.282,0.83658,0.69723,0.96623,0.41814,0.69592,0.45868,0.32909,0.99614,1.59134,1.03929,0.000561279,0.000561279,0.000561279
69,506.483,0.81933,0.64611,0.96238,0.41081,0.73324,0.43879,0.31685,1.00537,1.89151,1.04925,0.000544776,0.000544776,0.000544776
70,511.78,0.81132,0.65705,0.95704,0.40393,0.81144,0.45109,0.32799,0.96999,1.59409,1.02577,0.000528272,0.000528272,0.000528272
71,517.054,0.8002,0.66298,0.94603,0.41985,0.74149,0.47286,0.34152,0.98943,1.88314,1.04289,0.000511769,0.000511769,0.000511769
72,522.392,0.77465,0.63057,0.93442,0.42798,0.7576,0.44277,0.31307,1.05156,1.74186,1.08635,0.000495266,0.000495266,0.000495266
73,527.607,0.79056,0.65205,0.96282,0.41191,0.77071,0.43757,0.31482,0.98588,1.81493,1.05131,0.000478762,0.000478762,0.000478762
74,532.884,0.80469,0.63473,0.95636,0.3983,0.79318,0.44659,0.32569,0.96841,1.64987,1.02331,0.000462259,0.000462259,0.000462259
75,538.228,0.81212,0.63792,0.95737,0.45379,0.66327,0.45307,0.32759,0.99442,1.57794,1.04694,0.000445756,0.000445756,0.000445756
76,543.575,0.7784,0.60882,0.94112,0.41855,0.74516,0.44052,0.32111,0.99065,1.94028,1.05854,0.000429253,0.000429253,0.000429253
77,548.815,0.77073,0.64448,0.93662,0.40433,0.76993,0.45946,0.32634,0.99565,1.60588,1.04546,0.000412749,0.000412749,0.000412749
78,554.186,0.77352,0.5966,0.93796,0.40524,0.76754,0.45302,0.32495,0.97276,1.73844,1.02791,0.000396246,0.000396246,0.000396246
79,559.448,0.79024,0.59187,0.93869,0.42407,0.75472,0.4398,0.32398,0.97002,1.84892,1.04966,0.000379743,0.000379743,0.000379743
80,564.699,0.7764,0.59994,0.94867,0.41067,0.77194,0.45876,0.33549,0.98377,1.6705,1.05199,0.000363239,0.000363239,0.000363239
81,569.921,0.77677,0.58206,0.94155,0.46618,0.62132,0.4421,0.32414,0.97962,1.88127,1.03499,0.000346736,0.000346736,0.000346736
82,575.26,0.75798,0.58465,0.93296,0.41927,0.70802,0.45278,0.33026,0.99869,1.99765,1.04174,0.000330233,0.000330233,0.000330233
83,580.525,0.75839,0.58026,0.93371,0.42316,0.75044,0.47107,0.34541,0.97849,1.78864,1.03263,0.000313729,0.000313729,0.000313729
84,585.82,0.74027,0.57079,0.93333,0.44737,0.72548,0.45345,0.32933,0.9939,1.74344,1.04349,0.000297226,0.000297226,0.000297226
85,591.119,0.74926,0.57158,0.93531,0.40946,0.77818,0.46713,0.33909,0.97695,1.61538,1.04613,0.000280723,0.000280723,0.000280723
