epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,631.743,0.92074,1.00557,1.11002,0.43505,0.77146,0.42701,0.31143,1.02446,1.44678,1.19626,0.000990365,0.000990365,0.000990365
43,646.649,0.94286,1.00898,1.12083,0.42659,0.73892,0.45665,0.33906,1.05359,1.6402,1.2187,0.000973861,0.000973861,0.000973861
44,661.535,0.92349,1.00816,1.10043,0.48969,0.81165,0.5159,0.37766,0.99061,1.16777,1.17364,0.000957358,0.000957358,0.000957358
45,676.548,0.93447,1.00069,1.11947,0.47161,0.82389,0.51002,0.36921,0.98257,1.13613,1.19719,0.000940855,0.000940855,0.000940855
46,691.427,0.8999,0.97273,1.11048,0.43903,0.84813,0.47335,0.34945,0.97646,1.21877,1.17589,0.000924352,0.000924352,0.000924352
47,706.309,0.92603,0.98814,1.11296,0.421,0.82038,0.43645,0.31686,0.98155,1.21071,1.17428,0.000907848,0.000907848,0.000907848
48,721.193,0.91676,0.95592,1.1091,0.43375,0.82941,0.47979,0.34568,1.00005,1.32407,1.18758,0.000891345,0.000891345,0.000891345
49,736.076,0.88142,0.94632,1.09413,0.42991,0.80792,0.43064,0.30918,0.9983,1.33873,1.1975,0.000874842,0.000874842,0.000874842
50,750.981,0.89657,0.95372,1.09595,0.44026,0.72974,0.41619,0.30141,1.05867,1.72696,1.26338,0.000858338,0.000858338,0.000858338
51,765.902,0.89624,0.96873,1.10332,0.42898,0.82617,0.41817,0.30691,0.95344,1.24886,1.16593,0.000841835,0.000841835,0.000841835
52,780.818,0.87972,0.93843,1.09903,0.42545,0.72974,0.39787,0.28376,1.04039,1.54737,1.22362,0.000825332,0.000825332,0.000825332
53,795.734,0.90062,0.93628,1.09591,0.41399,0.86685,0.4414,0.32208,0.95851,1.1935,1.16155,0.000808828,0.000808828,0.000808828
54,810.659,0.8758,0.90572,1.08582,0.42698,0.78217,0.45353,0.32669,1.00257,1.26377,1.18274,0.000792325,0.000792325,0.000792325
55,825.58,0.88181,0.92617,1.08595,0.39637,0.85237,0.40393,0.29902,0.95741,1.39181,1.17428,0.000775822,0.000775822,0.000775822
56,840.49,0.86457,0.9407,1.08536,0.44698,0.68066,0.40974,0.28511,1.1244,1.49838,1.29217,0.000759318,0.000759318,0.000759318
57,855.363,0.86441,0.88951,1.0799,0.43586,0.84863,0.45405,0.33711,0.9637,1.35465,1.15292,0.000742815,0.000742815,0.000742815
58,870.226,0.83018,0.87526,1.06653,0.43205,0.86063,0.48337,0.35009,0.9414,1.17505,1.15082,0.000726312,0.000726312,0.000726312
59,885.105,0.854,0.87956,1.06569,0.40893,0.80967,0.45259,0.33465,0.96257,1.51342,1.17134,0.000709809,0.000709809,0.000709809
60,899.99,0.82311,0.87049,1.06191,0.39409,0.79715,0.38722,0.26441,1.07635,1.72421,1.237,0.000693305,0.000693305,0.000693305
61,914.871,0.85099,0.87464,1.06647,0.42763,0.82113,0.44358,0.3285,0.94983,1.36743,1.13697,0.000676802,0.000676802,0.000676802
62,929.756,0.83209,0.85972,1.0671,0.41707,0.86731,0.45577,0.33524,0.96488,1.41998,1.17428,0.000660299,0.000660299,0.000660299
63,944.653,0.83544,0.843,1.06648,0.4272,0.82482,0.44661,0.31994,0.97167,1.25666,1.19237,0.000643795,0.000643795,0.000643795
64,959.531,0.85225,0.89873,1.07136,0.4263,0.81639,0.4544,0.32577,1.01494,1.21342,1.21121,0.000627292,0.000627292,0.000627292
65,974.405,0.81513,0.87622,1.04964,0.41396,0.8299,0.42873,0.31591,0.95596,1.51933,1.16591,0.000610789,0.000610789,0.000610789
66,989.313,0.77415,0.81516,1.02625,0.43446,0.83315,0.46175,0.34229,0.95568,1.36704,1.15542,0.000594286,0.000594286,0.000594286
67,1004.26,0.81229,0.80948,1.04492,0.42876,0.85882,0.44262,0.32407,0.96435,1.41932,1.15931,0.000577782,0.000577782,0.000577782
68,1019.2,0.82416,0.8265,1.05277,0.43308,0.8003,0.43663,0.31885,0.93897,1.42338,1.15278,0.000561279,0.000561279,0.000561279
69,1034.16,0.81746,0.80458,1.06126,0.39315,0.75936,0.38592,0.27151,1.00852,1.71885,1.17976,0.000544776,0.000544776,0.000544776
70,1049.1,0.80668,0.78004,1.0431,0.39846,0.81217,0.40984,0.29685,0.95982,1.58876,1.16457,0.000528272,0.000528272,0.000528272
71,1064.03,0.8005,0.77565,1.04394,0.44162,0.73961,0.4382,0.32807,0.95235,1.66149,1.16556,0.000511769,0.000511769,0.000511769
72,1078.97,0.7769,0.76594,1.02454,0.4526,0.73272,0.47252,0.35033,0.95299,1.43491,1.16218,0.000495266,0.000495266,0.000495266
73,1093.92,0.76536,0.76598,1.02454,0.39366,0.7837,0.40512,0.29298,0.99934,1.68562,1.17614,0.000478762,0.000478762,0.000478762
74,1108.89,0.80387,0.76209,1.03882,0.40086,0.80693,0.4235,0.30647,0.96608,1.37767,1.16303,0.000462259,0.000462259,0.000462259
75,1123.84,0.79878,0.74273,1.04331,0.42046,0.74198,0.42789,0.31645,0.99395,1.82068,1.1819,0.000445756,0.000445756,0.000445756
76,1138.78,0.76185,0.71888,1.01628,0.41152,0.82815,0.41854,0.30439,0.95255,1.56352,1.17501,0.000429253,0.000429253,0.000429253
77,1153.71,0.76572,0.72728,1.01087,0.41872,0.80967,0.4069,0.29469,0.97573,1.7358,1.17714,0.000412749,0.000412749,0.000412749
78,1168.64,0.76025,0.71057,1.01191,0.43963,0.82883,0.43785,0.32216,0.93766,1.53414,1.15662,0.000396246,0.000396246,0.000396246
79,1183.58,0.77912,0.72809,1.02352,0.44785,0.83139,0.439,0.32327,0.93537,1.41194,1.13936,0.000379743,0.000379743,0.000379743
80,1198.52,0.74819,0.70511,1.01362,0.41971,0.7809,0.45479,0.33432,0.95706,1.38629,1.1617,0.000363239,0.000363239,0.000363239
81,1213.45,0.7507,0.67467,1.00733,0.40193,0.74076,0.40907,0.30188,0.94432,1.73797,1.15197,0.000346736,0.000346736,0.000346736
82,1228.39,0.73388,0.66274,1.003,0.39243,0.80063,0.41703,0.31034,0.93792,1.62241,1.14473,0.000330233,0.000330233,0.000330233
83,1243.29,0.72586,0.66518,0.99572,0.43878,0.82079,0.47327,0.34121,0.93934,1.46343,1.15257,0.000313729,0.000313729,0.000313729
84,1258.18,0.72382,0.65154,0.99288,0.40851,0.8174,0.42608,0.31545,0.9594,1.5672,1.17783,0.000297226,0.000297226,0.000297226
85,1273.09,0.72393,0.63968,0.99966,0.40709,0.73965,0.41369,0.30596,0.94987,1.86618,1.17135,0.000280723,0.000280723,0.000280723
86,1288,0.70609,0.59097,0.99089,0.42712,0.75428,0.44005,0.32519,0.97245,1.89607,1.17586,0.00026422,0.00026422,0.00026422
87,1302.91,0.72089,0.61392,1.00644,0.41577,0.71956,0.40984,0.30053,0.96394,1.88375,1.17663,0.000247716,0.000247716,0.000247716
88,1317.81,0.71358,0.59741,0.99826,0.41627,0.71816,0.42687,0.31477,0.96583,1.79724,1.19122,0.000231213,0.000231213,0.000231213
89,1332.71,0.69872,0.58565,0.98515,0.43108,0.7522,0.4505,0.32781,0.97426,1.66084,1.18322,0.00021471,0.00021471,0.00021471
90,1347.62,0.70835,0.61587,0.99335,0.43008,0.77844,0.43517,0.31931,0.96431,1.77379,1.17544,0.000198206,0.000198206,0.000198206
91,1363.17,0.6641,0.57452,0.95907,0.45526,0.80805,0.46316,0.34454,0.95591,1.68385,1.17237,0.000181703,0.000181703,0.000181703
92,1378.07,0.63103,0.54817,0.9489,0.46106,0.78142,0.48458,0.3623,0.95375,1.57554,1.15481,0.0001652,0.0001652,0.0001652
93,1392.95,0.62005,0.48977,0.93641,0.445,0.77541,0.47184,0.35414,0.93964,1.55453,1.1584,0.000148696,0.000148696,0.000148696
94,1407.84,0.62655,0.48727,0.95095,0.43511,0.74324,0.43031,0.31642,0.98022,1.89046,1.1913,0.000132193,0.000132193,0.000132193
95,1422.71,0.61227,0.48294,0.94695,0.43641,0.76519,0.45138,0.33409,0.97668,1.73009,1.19098,0.00011569,0.00011569,0.00011569
96,1437.59,0.61426,0.47285,0.93306,0.45736,0.74419,0.45559,0.34162,0.9757,1.89204,1.19044,9.91865e-05,9.91865e-05,9.91865e-05
97,1452.46,0.60157,0.45177,0.93276,0.44451,0.74545,0.45783,0.3436,0.97165,1.79488,1.18731,8.26832e-05,8.26832e-05,8.26832e-05
98,1467.34,0.59607,0.4484,0.92783,0.44503,0.72983,0.44918,0.3362,0.97202,1.86178,1.19106,6.61799e-05,6.61799e-05,6.61799e-05
99,1482.22,0.59627,0.43989,0.93322,0.45263,0.72597,0.45364,0.3387,0.95965,1.76931,1.18018,4.96766e-05,4.96766e-05,4.96766e-05
100,1497.09,0.59076,0.42704,0.92559,0.43083,0.72628,0.44086,0.32821,0.96756,1.86465,1.19022,3.31733e-05,3.31733e-05,3.31733e-05
